name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
白蛇2：青蛇劫起,2528万,2527.9万次播放,23万,8.5,39665人评,2021年7月23日上映,132分钟,http://i0.hdslb.com/bfs/bangumi/image/52435240b8c204b10b3d6b74d438b7586db5d32f.png,567,16202
蝙蝠侠：黑暗骑士,2513.7万,2513.6万次播放,15.3万,9.7,16423人评,2008年7月14日上映,152分钟,http://i0.hdslb.com/bfs/bangumi/10cb5ebdc15be6848a1d6e3cfb5cf13c13283cf1.jpg,49,3664
武林外传,2492.4万,2492.4万次播放,23.9万,9.5,6781人评,2011年1月26日上映,92分钟,http://i0.hdslb.com/bfs/bangumi/98d9134e936aca8c018c46f8e5da96bc6254cf1d.jpg,7,1866
命运之夜——天之杯II ：迷失之蝶,2339.3万,2339.3万次播放,39.2万,9.7,17052人评,2019年7月12日上映,112分钟,http://i0.hdslb.com/bfs/bangumi/4de96771bc75627711470bf0864dda9c3e950bbc.png,63,4094
肖申克的救赎,2327.3万,2327.2万次播放,4.1万,9.9,55215人评,1994年9月23日上映,142分钟,http://i0.hdslb.com/bfs/bangumi/1a8e6a7405d631b399098e46c267d028e618bc75.jpg,105,14976
姜子牙,2275.3万,2275.3万次播放,22.5万,7.6,34751人评,2020年10月1日上映,110分钟,http://i0.hdslb.com/bfs/bangumi/image/e8100256771a79772520494c725e5e21d96609c0.png,495,13651
哥斯拉2：怪兽之王,2241.8万,2241.8万次播放,33.4万,8.5,13592人评,2019年5月31日上映,132分钟,http://i0.hdslb.com/bfs/bangumi/image/0ac9aac707084339d758a0cf11b8bb0c0f3c2900.jpg,44,4251
剧场版总集篇 OVERLORD 漆黑的英雄,2206.4万,2206.3万次播放,8.3万,9.3,2807人评,2017年3月11日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/ad3675337ca227dbd17c49221cf18080536a7209.jpg,2,548
八佰,2156万,2156万次播放,26.1万,6.2,76544人评,2020年8月21日上映,147分钟,http://i0.hdslb.com/bfs/bangumi/image/c923269c03fd4a4a5bc9003dad31c8129d985d87.jpg,270,30228
紫罗兰永恒花园 剧场版 ,2155.1万,2155.1万次播放,27.6万,9.9,59615人评,2021年12月25日上映,140分钟,http://i0.hdslb.com/bfs/bangumi/image/2e800bc5154dcaad24a46d33e2af82be7aa9a2e9.png,445,20908
大鱼海棠,2153.8万,2153.7万次播放,44.8万,6.6,22941人评,2016年7月8日上映,105分钟,http://i0.hdslb.com/bfs/bangumi/164fc89800960b787141925c078709d55cb3f061.jpg,242,10942
狙击手,2125.2万,2125.2万次播放,5.2万,7.9,7354人评,2022年2月1日上映,96分钟,http://i0.hdslb.com/bfs/bangumi/image/4fc973983f01e3396d5cf4603f7b82dea35815d6.png,63,2283
玉子爱情故事,2115.5万,2115.5万次播放,59.7万,9.9,39195人评,2014年4月26日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/3d781d52aa2b93188836a1725ecdd286f8df136f.jpg,85,12431
环太平洋,2107.8万,2107.8万次播放,30.6万,9.7,26436人评,2013年7月31日上映,131分钟,http://i0.hdslb.com/bfs/bangumi/image/5d2547fccd75717eab7426cb94b021ec71473b76.png,43,6610
万万没想到,1989.4万,1989.4万次播放,20.8万,8.1,4037人评,2015年12月18日上映,95分钟,http://i0.hdslb.com/bfs/bangumi/852adb71ca1dc16b867934181b6eea8125543f41.jpg,8,1240
盗梦空间,1985万,1985万次播放,2.3万,9.9,12819人评,2020年8月28日上映,148分钟,http://i0.hdslb.com/bfs/bangumi/image/2e9b47a97fb36bd34ac6a42331e5bff8f9989d82.jpg,33,5167
剧场版总集篇 OVERLORD 不死者之王,1961万,1961万次播放,12.4万,9.4,3150人评,2017年2月25日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/8a554a196930a24a2084438a29853af3154db6ce.jpg,2,595
哈利·波特与阿兹卡班的囚徒,1925.3万,1925.3万次播放,65.9万,9.8,10439人评,2004年9月10日上映,141分钟,http://i0.hdslb.com/bfs/bangumi/8064b6f2183a1236a5d9fd8f34181b48a0be3ed2.jpg,15,1520
阿甘正传,1918.2万,1918.1万次播放,27.4万,9.8,25901人评,1994年7月6日上映,142分钟,http://i0.hdslb.com/bfs/bangumi/e67f90d0a248d94f7fc0b995ee786765193decd8.jpg,115,6158
末日之战,1896.5万,1896.5万次播放,44万,9.3,14623人评,2013年6月2日上映,123分钟,http://i0.hdslb.com/bfs/bangumi/image/f72c1eb50b8d14c195b771d0c463761bceaaa332.png,48,3672
星际穿越,1866.5万,1866.5万次播放,17.8万,9.9,35039人评,2020年8月2日上映,169分钟,http://i0.hdslb.com/bfs/bangumi/3b8acd7a69aa3462297b0b1f206e7093e4961914.jpg,145,13468
无间道,1844.6万,1844.6万次播放,9.6万,9.9,13189人评,2003年9月5日上映,101分钟,http://i0.hdslb.com/bfs/bangumi/image/82686f6e787b4096b28b65e4e8bcecd1078f304b.jpg,13,2318
指环王1：护戒使者,1797.1万,1797万次播放,38.3万,9.8,4660人评,2021年4月16日上映,228分钟,http://i0.hdslb.com/bfs/bangumi/image/3474f6d5406532b15abedb8fef8ca9a2673ca994.jpg,25,3431
哈利·波特与火焰杯,1779.2万,1779.2万次播放,63.1万,9.7,7380人评,2005年11月18日上映,157分钟,http://i0.hdslb.com/bfs/bangumi/34dc1882f821d75c9b94620febcd8da3b0a3433c.jpg,11,844
沙丘,1757.9万,1757.9万次播放,39.9万,8.2,12132人评,2021年10月22日上映,156分钟,http://i0.hdslb.com/bfs/bangumi/image/286af43bc22089f5f4cc4b179285fa33af78fa88.png,84,3940
绿皮书,1742.8万,1742.8万次播放,19万,9.8,31032人评,2019年3月1日上映,130分钟,http://i0.hdslb.com/bfs/bangumi/image/99e62fe75cda9d99450df0460307a73d65cf1578.jpg,78,6725
海绵宝宝,1724.6万,1724.6万次播放,13.5万,9.8,10609人评,2015年12月1日上映,93分钟,http://i0.hdslb.com/bfs/bangumi/image/6560f6dd72f2f544820c69badf6be8a521797319.jpg,8,3036
帝国的毁灭,1689万,1689万次播放,15.1万,9.9,12941人评,2004年9月8日上映,156分钟,http://i0.hdslb.com/bfs/bangumi/image/3e5cba15da41e1b8b1e32007127382d812f8c54d.jpg,45,2930
约会大作战 万由里裁决,1659.7万,1659.7万次播放,64.9万,9.4,7048人评,2015年8月22日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/7f403ac6bcacad8589e0976878541b7c3d2dc319.jpg,18,1889
哈利·波特与凤凰社,1631.8万,1631.7万次播放,61.7万,9.5,6103人评,2007年8月10日上映,138分钟,http://i0.hdslb.com/bfs/bangumi/0156844430915a869550b1363b43ae0a8c4fdfad.jpg,18,767
烟花,1607.4万,1607.4万次播放,20.8万,8.6,21173人评,2017年12月1日上映,90分钟,http://i0.hdslb.com/bfs/bangumi/image/74d0d82dd22f1e7104bbdeae9827dc3d08b67bc1.png,256,7715
神奇动物在哪里,1605.7万,1605.6万次播放,19.5万,9.6,11274人评,2016年11月25日上映,133分钟,http://i0.hdslb.com/bfs/bangumi/image/6c7a66340ceadadeb55a2aa0a0e3455ea5546891.jpg,16,1813
入殓师,1590.1万,1590.1万次播放,5.1万,9.8,5913人评,2021年10月29日上映,130分钟,http://i0.hdslb.com/bfs/bangumi/image/275ec41eb9bce27b18975c06bd54192615c6620c.png,33,1271
