name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
两不疑 第二季,597.3万,395.4万追番,4487,,,敬请期待,,http://i0.hdslb.com/bfs/bangumi/image/bdda25c152a93ac0b5e421f3a6c90900f393448c.jpg,,
大理寺日志,1.6亿,390.7万追番,187.9万,9.8,115048人评,2020年4月10日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/08ee22bd12db1c9d8a878c3c6f665bc3f5758fa0.jpg,251,46530
罗小黑战记,4889.6万,375万追剧,52.5万,9.9,73151人评,2019年9月7日上映,101分钟,http://i0.hdslb.com/bfs/bangumi/5bee2f7688f4264c6cdbb983aec0205b6b7c9d3b.jpg,194,22021
少年歌行 风花雪月篇,2.4亿,368.3万追番,87万,8.5,50222人评,2021年7月28日开播,"已完结, 全33话",http://i0.hdslb.com/bfs/bangumi/image/a0c33766e6d743434e616de9fa77f6bc14ab846d.png,141,19215
我家大师兄有点靠谱,283.1万,358.6万追番,3710,,,敬请期待,,http://i0.hdslb.com/bfs/bangumi/image/cdaaa1a611a2d50827c9a223c9b0ff23d8e0dbe3.jpg,,
凹凸世界 第四季,9975.8万,338万追番,98.5万,8.5,11272人评,2022年4月29日开播,"连载中, 停更中，10月底复播",http://i0.hdslb.com/bfs/bangumi/image/55285d9059494f3fed0e71f2d66eaa70924fe020.png,210,5423
我家大师兄是个反派,1.1亿,311.1万追番,39.5万,9.0,15747人评,2020年10月29日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/80b37298d6aa9c5d687c0446b5f63f6407a3ee2a.jpg,50,6305
天宝伏妖录 第三季,356.7万,310.3万追番,3522,,,敬请期待,,http://i0.hdslb.com/bfs/bangumi/image/e69e6a2f5d0b57697940e2b9b40ddc13b886525b.png,,
中国古诗词动漫,4734.6万,303.3万追番,42.7万,9.9,48313人评,2017年10月10日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/f43cd147ebb5dacc1c38e5eb7a266276c58292b4.png,128,17593
剑网3·侠肝义胆沈剑心 第三季,2374.1万,288.2万追番,11.3万,9.9,9008人评,2022年7月8日开播,"连载中, 每周五11:00更新",http://i0.hdslb.com/bfs/bangumi/image/ad3be09b49404ab22b0df8a1a7c316d96a12cd07.png,26,3198
