name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
欢迎来到实力至上主义的教室,2.3亿,717.5万追番,449.5万,8.8,80023人评,2017年7月13日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/a79e331b7443ed5df5a2acd345dc41d598d46ff9.jpg,336,28225
堀与宫村,2.2亿,702万追番,244.2万,9.8,152979人评,2021年1月9日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/039c4e0b14e27c7a9e5cce2f20a6efd3c8909401.png,321,52082
Re：从零开始的异世界生活 新编集版,7746万,633万追番,167.4万,9.6,41105人评,2020年1月1日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/3c125e1aad08643e3eff2fb7d45e740c1a052725.png,195,11757
OVERLORD,4.2亿,631.9万追番,386.5万,9.6,52384人评,2015年7月7日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/b8e72ea69e57e0b7ac85d8b4d366554fd866df1a.jpg,99,14221
某科学的超电磁炮T,2.1亿,630.5万追番,273万,9.8,123102人评,2020年1月11日开播,"已完结, 全25话",http://i0.hdslb.com/bfs/bangumi/image/85c6e348a00a54d0b86d538efb186e006a027e21.png,198,36586
因为太怕痛就全点防御力了,2.3亿,623万追番,327.5万,9.0,150849人评,2020年1月8日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/8021d3f6b0df6dbba6d32f76eb9cfe2531e166c4.png,756,57335
刀剑神域 爱丽丝篇 异界战争 -终章-,9709.1万,611.8万追番,162.9万,4.8,310005人评,2020年7月5日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/54d9ca94ca84225934e0108417c2a1cc16be38fb.png,1166,162206
紫罗兰永恒花园外传：永远与自动手记人偶,3790.2万,603.8万追剧,54.7万,9.9,96101人评,2020年1月10日上映,91分钟,http://i0.hdslb.com/bfs/bangumi/image/107eb93eff876dee16da4bf270b31c3e250e49d6.png,263,31396
转生成蜘蛛又怎样！,3.7亿,601.6万追番,190.8万,7.9,127577人评,2021年1月8日开播,"已完结, 全24话",http://i0.hdslb.com/bfs/bangumi/image/f0796e37abac25ba2aa9f23120646aaa9a3d5ea7.png,419,53217
盾之勇者成名录 第二季,7518.7万,590万追番,49.8万,6.1,35000人评,2022年4月6日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/fba0229f1a6eec6ed692b7ae91c634d5cbde0727.png,109,16644
约会大作战 第四季,5927.6万,585.7万追番,48.1万,9.8,47888人评,2022年4月8日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/81c9dc929e6071a2d42f1b5a207bbcef4a1aead7.png,125,20187
在下坂本，有何贵干？,2.1亿,582.2万追番,323.3万,9.4,39669人评,2016年4月8日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/14ba6643f22405e2777cca992002cc6411601334.jpg,90,12540
徒然喜欢你,1.6亿,567.7万追番,299.2万,9.7,51327人评,2017年7月4日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/cb4dde6d68cf3a826538d84925e123a1148b779d.png,120,17605
夏目友人帐 唤石者与怪异的访客,1386.1万,567.3万追番,18.2万,9.9,17223人评,2021年1月16日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/6cf43708b779cde84ad285ff4e3a080de98df0af.png,25,4584
我的青春恋爱物语果然有问题。完,8784.8万,558.2万追番,142.6万,8.9,93537人评,2020年7月10日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/82d628408f5472f1440982e880b0b4f0146862ad.png,575,38301
四月是你的谎言,1.7亿,557.4万追番,481万,9.8,73113人评,2014年10月9日开播,"已完结, 全22话",http://i0.hdslb.com/bfs/bangumi/image/f5128c939b24909c7cb75bab51be0ee0c4d1b33a.jpg,471,24430
JOJO的奇妙冒险,1.8亿,556.3万追番,498万,9.8,85521人评,2012年10月5日开播,"已完结, 全26话",http://i0.hdslb.com/bfs/bangumi/image/9d8d2922b08f3d08d018e6e59e49607cf16d39e6.png,157,24257
OVERLORD Ⅲ,4亿,554.6万追番,401.2万,9.4,90951人评,2018年7月10日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/dd7a9d0a0bee32b1f43c2656398d8463d12b3069.jpg,622,30063
某科学的超电磁炮,1.6亿,547.1万追番,1275.7万,9.7,51935人评,2009年10月2日开播,"已完结, 全24话",http://i0.hdslb.com/bfs/bangumi/image/aad797f1f0212aba5578a1ed1c992ef1b9ff7c4b.jpg,111,13474
OVERLORD Ⅱ,3.8亿,542.1万追番,415.5万,9.6,78591人评,2018年1月9日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/851f979c8ebcc7583a43abd4b786c4e2e66b746b.jpg,268,27143
命运-冠位指定 冠位时间神殿所罗门,1236.3万,525.3万追番,9万,8.5,14557人评,2021年7月30日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/0e094b798388da19a4feffa6a6dabc1dc1dc90cd.jpg,203,5554
刀剑神域 爱丽丝篇 异界战争,9792.2万,514.3万追番,109.5万,9.1,54956人评,2019年10月6日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/327056a886f2c7cba6175a80eed2f78098cec5b1.png,124,16459
Angels of Death,1.2亿,513.2万追番,336.4万,9.5,63056人评,2018年7月6日开播,"已完结, 全16话",http://i0.hdslb.com/bfs/bangumi/0f11dfac18d744518669b2d211263f03d41d619c.png,363,22632
这个勇者明明超强却过分慎重,1.7亿,510.5万追番,154.1万,9.7,133607人评,2019年10月2日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/0ede47280762947ab83ce1a8269ce05f2b0a87e6.jpg,179,42394
岸边露伴 一动也不动,2584.9万,510.1万追番,11.8万,9.8,21173人评,2021年2月20日开播,"已完结, 全4话",http://i0.hdslb.com/bfs/bangumi/image/9b89d0fa9c44fdc791407847d3556f4cb8f157e4.png,38,6038
Charlotte,1.6亿,509.5万追番,248万,9.5,62639人评,2015年7月4日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/9c3e77244687a81e4b75e88ec22eeb8dbaa26380.jpg,360,22595
盾之勇者成名录,2.8亿,507.7万追番,401.8万,7.4,270836人评,2019年1月2日开播,"已完结, 全25话",http://i0.hdslb.com/bfs/bangumi/de944b7c9306932d8dd3dcaeaf2eeec8670deec5.png,1468,120010
总之就是非常可爱,1.5亿,506.8万追番,264.8万,9.5,95930人评,2020年10月3日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/3b97bfc609e08417eb391ef975a8648c28c55e04.png,327,36614
