name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
BILIBILI MACRO LINK-VISUAL RELEASR 2018,136万,136万次播放,5.9万,9.7,210人评,2018年7月20日开播,已完结，共1集,http://i0.hdslb.com/bfs/bangumi/image/b9bea3a720ce07a6630365b493509ae274925bdf.jpg,1,37
朗读者 第二季,133.6万,133.6万次播放,4499,8.7,301人评,2018年5月5日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/6938b0e8ff187c124440d4171400571e5d7eaf92.png,,114
国家宝藏·国宝音乐会,130.2万,130.2万次播放,2万,9.9,759人评,2019年11月5日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/5d513a97e65d71e5b4e909b2aff55dbd55912cef.jpg,,198
技惊四座,127.7万,127.7万次播放,3698,,,2020年12月19日开播,"已完结, 全10集",http://i0.hdslb.com/bfs/bangumi/image/88a5448b410bf3fa14e2bb5b7a36813832d2eaa1.png,,25
未来有你·初音未来2021演唱会,122.9万,122.9万次播放,1.3万,9.9,1485人评,2021年12月25日开播,已完结，共1集,http://i0.hdslb.com/bfs/bangumi/image/3bb8f65455f0790fc1f90045a6ffcd2212b5acea.png,2,392
衣尚中国,108.2万,108.2万次播放,1.9万,7.6,278人评,2020年11月7日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/image/499a0676758cb56cd55fae5de257abdb43322026.jpg,3,143
中国梦•我的梦 2022中国网络视听年度盛典,103.8万,103.8万次播放,4636,,,2022年2月2日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/557bf1145d59b5b88e4d898e1f7d90d59796925f.png,,
穿越康熙,99万,99万次播放,1297,,,2017年1月17日开播,"已完结, 全226集",http://i0.hdslb.com/bfs/bangumi/image/d521db392e73b5484b08879997f67fc794d3e0ae.png,,1
四海聚一家 战疫特别节目,95.2万,95.2万次播放,2.5万,9.8,891人评,2020年4月24日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/88e9567aaec488438579c57131aff9928007809b.png,1,283
龙腾虎跃大湾区-2022广东卫视春节晚会,94.8万,94.8万次播放,3769,,,2022年2月1日开播,已完结，共1集,http://i0.hdslb.com/bfs/bangumi/image/19545327c2b28bebbc649ec1906a81c486d4d36c.png,,22
2022花开天下·国韵新年演唱会,92.9万,92.9万次播放,9071,9.8,432人评,2022年1月1日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/cf6f219b5903b0bcedceb4d8d86165ec6e22d0c0.png,1,174
《还有诗和远方·诗画浙江篇》第二季,92.3万,92.3万次播放,1.7万,9.2,293人评,2021年4月25日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/8a22e559cd4e079913c3a168b1bb9b0d1c25b67d.png,,169
成长吧！大熊猫,82.9万,82.9万次播放,2236,,,2022年5月7日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/d0d184571627a622eefe9dbc1e9998d159d1406c.png,,29
BILIBILI MACRO LINK-VISUAL RELEASR 2017,82.6万,82.6万次播放,2.6万,,,2017年7月21日开播,"已完结, 全2集",http://i0.hdslb.com/bfs/bangumi/image/a0fe9b4c303fd1e78126052d4f8dc0daa2241ba7.jpg,,17
国学小名士 第三季,81.2万,81.2万次播放,2280,,,2019年11月24日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/972f87c61341d638776e148e524859fd04dac63e.jpg,,7
最美中轴线,77.6万,77.6万次播放,4716,8.3,102人评,2021年7月3日开播,"已完结, 全11集",http://i0.hdslb.com/bfs/bangumi/image/29d5a38d8f6f44694b6926ec0bfc479bb8e9824b.jpg,,38
2022山东卫视欢乐元宵夜,74.8万,74.8万次播放,1020,,,2022年2月15日开播,已完结，共1集,http://i0.hdslb.com/bfs/bangumi/image/2caa0d687b6bf4980b387e68db124bbd4d4fa0c8.png,,7
2020河南春晚 龙腾黄河中国年,70.6万,70.6万次播放,3116,9.9,122人评,2020年1月26日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/50d97fea3fb7ad3487bebfc3ba6cb2cc657570de.jpg,,54
太合合家欢,69.8万,69.8万次播放,1.3万,,,2021年2月18日开播,"已完结, 全2集",http://i0.hdslb.com/bfs/bangumi/image/e1abaff40962158de7d103317afe7f5b0ab5032f.jpg,,11
各位游客请注意,69.8万,69.8万次播放,1.6万,,,2019年8月3日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/3c23958cc99822ab4cd213876a119ffce4738a90.jpg,,18
【夏日漫画季】comic summer con 2021,67.9万,67.9万次播放,2027,,,2021年7月15日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/85700a7fd393b58690df79dd49e4629e07a6af55.png,,10
Weekly UP 一周干一杯,67.7万,67.7万次播放,1956,,,2019年6月30日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/f26164039456983d25aed5def4af2cf4d1c0f906.jpg,,28
还有诗和远方,65万,65万次播放,1998,,,2020年8月9日开播,连载中,http://i0.hdslb.com/bfs/bangumi/image/e435e1a0feb33bc4f0535e09cd0256c9d9f65c7c.jpg,,20
求职高手,61.4万,61.4万次播放,2169,,,2019年8月4日开播,"已完结, 全13集",http://i0.hdslb.com/bfs/bangumi/1bb33db0160ffa8e9f70db4705b9fbcd2f0772b8.jpg,,23
飞黄腾达ONE冠军赛,54.8万,54.8万次播放,2085,,,2021年3月20日开播,"已完结, 全13集",http://i0.hdslb.com/bfs/bangumi/image/7433b1a0cb0ff276d4745a5984753ac1f432c09a.jpg,,6
朤月东方—中秋梦幻,54.8万,54.8万次播放,2468,,,2021年9月21日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/a5392748c7ef7e8447634023fa193d9d1e2b0ef0.png,,13
