name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
小主安康－宠物医院2,3602.9万,3602.9万次播放,38.3万,9.4,4461人评,2020年3月10日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/7fb826892e4b5143190f882c0c02d10dafacd033.png,13,1160
小主安康-宠物医院3,3542.5万,3542.5万次播放,13.3万,9.8,2640人评,2021年2月18日开播,"已完结, 全8集",http://i0.hdslb.com/bfs/bangumi/image/d11d4c3303894b9b0e8c268e6dd4df84ebb41659.png,5,620
求偶游戏,3486.9万,3486.8万次播放,10.3万,9.9,2649人评,12:00开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/5cf6b70e4fa7a6d2c3d680b8f0c8fe42f1ca964a.jpg,2,487
我住在这里的理由 第一季,3478.1万,3478.1万次播放,40.7万,9.8,2573人评,2015开播,"已完结, 全100集",http://i0.hdslb.com/bfs/bangumi/image/706aea58c233fb285d5ad815e87d4ff8f4b2b0bb.png,5,624
荒岛余生,3416.3万,3416.3万次播放,46.4万,9.8,3873人评,2013年4月14日开播,"已完结, 全4集",http://i0.hdslb.com/bfs/bangumi/502c91273308bb5f5cbb5d5b34f530740372c5d1.png,10,1056
挤痘大师,3411.7万,3411.7万次播放,18.6万,9.8,2031人评,2018年1月1日开播,"已完结, 全13集",http://i0.hdslb.com/bfs/bangumi/image/b34e5bd5a952e67c7bfd1de8e8bf0f74d8d88247.jpg,2,603
人生第一次,3403.3万,3403.2万次播放,38.6万,9.9,10451人评,2020年1月15日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/66a83e44847c288cdc6226d9c43e8dd7da4a8352.jpg,27,2777
不破不立,3363.2万,3363.2万次播放,14.5万,9.6,3839人评,2021年11月20日开播,"已完结, 全7集",http://i0.hdslb.com/bfs/bangumi/image/d01b0d218818da8cbdeaa90f4442dbc6bc3bfae2.jpg,10,706
原始生活21天 第四季,3307.5万,3307.5万次播放,13.9万,8.3,173人评,2018开播,"已完结, 全16集",http://i0.hdslb.com/bfs/bangumi/70cc712eea26d9011460981ddd9a8ba61d5f4e5c.jpg,1,51
英雄之路,3198万,3197.9万次播放,7.6万,9.6,2954人评,2022-05-23开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/e35c752ae6938f22fbf9e3743bdacf1c8b7d49bd.jpg,5,514
